,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10,Australia,AUS,1285410.0,1285710.0,1286010.0,1286310.0,1286610.0,1286910.0,1287210.0,1287510.0,1287810.0,1288110.0,1288410.0,1286010.0,1283610.0,1281210.0,1278810.0,1276410.0,1267550.0,1258690.0,1249830.0,1240970.0,1232110.0,1235190.0,1238270.0,1241350.0,1244430.0,1247510.0,1250590.0
11,Austria,AUT,37760.0,37821.9995117188,37883.9990234375,37946.0009765625,38008.0004882813,38070.0,38131.9995117188,38193.9990234375,38256.0009765625,38318.0004882813,38380.0,38406.0009765625,38431.9995117188,38458.0004882813,38483.9990234375,38510.0,38528.0004882813,38546.0009765625,38563.9990234375,38581.9995117188,38600.0,38618.0004882813,38636.0009765625,38653.9990234375,38671.9995117188,38690.0,38708.0004882813
12,Azerbaijan,AZE,8520.0,8558.0,8557.99987792969,8577.99987792969,8597.99987792969,8617.99987792969,8637.99987792969,8657.99987792969,8677.99987792969,8697.99987792969,8717.99987792969,8728.80004882813,8739.60021972656,8750.39978027344,8761.19995117188,8772.00012207031,9034.19982910156,9296.40014648438,9558.59985351563,9820.80017089844,10082.9998779297,10345.2001953125,10607.3999023438,10869.599609375,11131.8005371094,11394.0002441406,11656.1999511719
13,"Bahamas, The",BHS,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0,5150.0
14,Bahrain,BHR,2.19999998807907,2.30000004172325,2.5,2.59999990463257,2.80000001192093,2.8999999165535,3.10000002384186,3.19999992847443,3.40000003576279,3.60000014305115,3.70000004768372,3.89999985694885,4.00000005960464,4.19999986886978,4.30000007152557,4.49999988079071,4.6000000834465,4.79999989271164,4.90000009536743,5.09999990463257,5.29999971389771,5.40000021457672,5.60000002384186,5.69999992847443,5.89999973773956,6.00000023841858,6.10000014305115
15,Bangladesh,BGD,14940.0,14914.0002441406,14888.0004882813,14861.9995117188,14835.9997558594,14810.0,14784.0002441406,14758.0004882813,14731.9995117188,14705.9997558594,14680.0,14654.0002441406,14628.0004882813,14601.9995117188,14575.9997558594,14550.0,14524.0002441406,14498.0004882813,14471.9995117188,14445.9997558594,14420.0,14394.0002441406,14368.0004882813,14341.9995117188,14315.9997558594,14290.0,14264.0002441406
16,Barbados,BRB,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486,63.0000019073486
17,Belarus,BLR,77800.0,78786.0,78786.0009765625,79278.9990234375,79772.001953125,80265.0,80757.998046875,81251.0009765625,81743.9990234375,82237.001953125,82730.0,83055.99609375,83382.001953125,83707.998046875,84034.00390625,84360.0,84555.99609375,84752.001953125,84947.998046875,85144.00390625,85340.0,85539.00390625,85737.998046875,85937.001953125,86135.99609375,86335.0,86534.00390625
18,Belgium,BEL,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6670.0,6672.99987792969,6686.79992675781,6700.59997558594,6714.40002441406,6728.20007324219,6742.00012207031,6755.99975585938,6770.0,6784.00024414063,6797.99987792969,6812.00012207031,6816.40014648438,6820.80017089844,6825.2001953125,6829.60021972656,6834.00024414063,6838.40026855469
19,Belize,BLZ,16160.3002929688,16003.4997558594,15846.8005371094,15690.1000976563,15533.3996582031,15376.6003417969,15219.8999023438,15063.1994628906,14906.5002441406,14749.6997070313,14593.0004882813,14507.5,14421.8994140625,14336.4001464844,14250.7995605469,14165.3002929688,14115.0,14064.6997070313,14014.4995117188,13964.2004394531,13913.9001464844,13863.6999511719,13813.4997558594,13763.3996582031,13713.1994628906,13663.0004882813,13612.8002929688
20,Benin,BEN,57610.0,56910.0,56210.0,55510.0,54810.0,54110.0,53410.0,52710.0,52010.0,51310.0,50610.0,50110.0,49610.0,49110.0,48610.0,48110.0,47610.0,47110.0,46610.0,46110.0,45610.0,45110.0,44610.0,44110.0,43610.0,43110.0,42610.0
21,Bermuda,BMU,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22,Bhutan,BTN,25067.099609375,25166.3989257813,25265.7006835938,25365.0,25464.2993164063,25563.6010742188,25662.900390625,25762.1997070313,25861.3989257813,25960.7006835938,26060.0,26159.2993164063,26258.6010742188,26357.900390625,26457.1997070313,26556.4990234375,26655.80078125,26755.0,26854.2993164063,26953.6010742188,27052.900390625,27152.1997070313,27251.4990234375,27350.80078125,27450.1000976563,27549.2993164063,27648.5009765625
23,Bolivia,BOL,627950.0,625246.015625,622541.9921875,619838.0078125,617133.984375,614430.0,611726.015625,609021.9921875,606318.0078125,603613.984375,600910.0,598196.015625,595481.9921875,592768.0078125,590053.984375,587340.0,582290.0,577240.0,572190.0,567140.0,562090.0,559200.0,556310.0,553420.0,550530.0,547640.0,544750.0
24,Bosnia and Herzegovina,BIH,22100.0,22050.0,22050.0,22025.0,22000.0,21975.0,21950.0,21925.0,21900.0,21875.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0,21850.0
25,Botswana,BWA,137180.0,135997.001953125,134814.00390625,133630.99609375,132447.998046875,131265.0,130082.001953125,128899.00390625,127715.99609375,126532.998046875,125350.0,124165.99609375,122982.001953125,121797.998046875,120614.00390625,119430.0,118245.99609375,117062.001953125,115877.998046875,114694.00390625,113510.0,112487.998046875,111465.99609375,110444.00390625,109422.001953125,108400.0,107377.998046875
26,Brazil,BRA,5467050.0,5441618.75,5416188.125,5390756.875,5365326.25,5339895.0,5314463.75,5289033.125,5263601.875,5238170.9375,5212740.0,5183660.0,5154580.0,5125500.0,5096420.0,5067340.0,5050788.125,5034235.9375,5017684.0625,5001131.875,4984580.0,4974740.0,4964900.0,4955060.0,4945220.0,4935380.0,4925540.0
27,British Virgin Islands,VGB,37.1000003814697,37.1000003814697,37.0000004768372,37.0000004768372,36.9000005722046,36.9000005722046,36.9000005722046,36.800000667572,36.800000667572,36.7000007629395,36.7000007629395,36.7000007629395,36.7000007629395,36.6000008583069,36.6000008583069,36.6000008583069,36.6000008583069,36.5000009536743,36.5000009536743,36.4000010490417,36.4000010490417,36.4000010490417,36.3000011444092,36.3000011444092,36.1999988555908,36.1999988555908,36.1999988555908
28,Brunei Darussalam,BRN,4130.0,4113.99993896484,4097.99987792969,4082.00012207031,4066.00006103516,4050.0,4033.99993896484,4017.99987792969,4002.00012207031,3986.00006103516,3970.0,3953.99993896484,3937.99987792969,3922.00012207031,3906.00006103516,3890.0,3872.00012207031,3853.99993896484,3836.00006103516,3817.99987792969,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0
29,Bulgaria,BGR,33270.0,33318.0004882813,33366.0009765625,33413.9990234375,33461.9995117188,33510.0,33558.0004882813,33606.0009765625,33653.9990234375,33701.9995117188,33750.0,34301.9995117188,34853.9990234375,35406.0009765625,35958.0004882813,36510.0,36681.9995117188,36853.9990234375,37026.0009765625,37198.0004882813,37370.0,37541.9995117188,37713.9990234375,37886.0009765625,38058.0004882813,38230.0,38401.9995117188
30,Burkina Faso,BFA,68470.0,67871.0009765625,67272.001953125,66672.998046875,66073.9990234375,65475.0,64876.0009765625,64277.001953125,63677.998046875,63078.9990234375,62480.0,61882.001953125,61283.9990234375,60686.0009765625,60087.998046875,59490.0,58890.0,58290.0,57690.0,57090.0,56490.0,55892.001953125,55293.9990234375,54696.0009765625,54097.998046875,53500.0,52902.001953125
31,Burundi,BDI,2890.0,2798.99993896484,2707.99987792969,2617.00012207031,2526.00006103516,2435.0,2343.99993896484,2253.00003051758,2161.99996948242,2071.00006103516,1980.0,1946.00006103516,1911.99996948242,1878.00003051758,1843.99993896484,1810.0,1953.99993896484,2098.00003051758,2241.99996948242,2386.00006103516,2530.0,2576.00006103516,2622.00012207031,2667.99987792969,2713.99993896484,2760.0,2806.00006103516
32,Cabo Verde,CPV,577.5,601.800003051758,626.199989318848,650.500030517578,674.899978637695,699.199981689453,723.499984741211,747.900009155273,772.200012207031,796.600036621094,820.899963378906,823.899993896484,826.900024414063,829.899978637695,832.900009155273,835.899963378906,838.899993896484,841.900024414063,844.899978637695,847.900009155273,850.899963378906,860.500030517578,870.199966430664,879.800033569336,889.400024414063,899.000015258789,908.600006103516
33,Cambodia,KHM,129440.0,128042.001953125,126644.00390625,125245.99609375,123847.998046875,122450.0,121052.001953125,119654.00390625,118255.99609375,116857.998046875,115460.0,113830.0,112200.0,110570.0,108940.0,107310.0,106035.99609375,104762.001953125,103487.998046875,102214.00390625,100940.0,99665.99609375,98392.001953125,97117.998046875,95844.00390625,94570.0,93295.99609375
34,Cameroon,CMR,243160.0,240960.0,238760.0,236560.0,234360.0,232160.0,229960.0,227760.0,225560.0,223360.0,221160.0,218960.0,216760.0,214560.0,212360.0,210160.0,207960.0,205760.0,203560.0,201360.0,199160.0,196960.0,194760.0,192560.0,190360.0,188160.0,185960.0
35,Canada,CAN,3482730.0,3482259.0625,3481788.125,3481316.875,3480845.9375,3480375.0,3479904.0625,3479433.125,3478961.875,3478490.9375,3478020.0,3477568.125,3477115.9375,3476664.0625,3476211.875,3475760.0,3475211.875,3474664.0625,3474115.9375,3473568.125,3473020.0,3472554.0625,3472088.125,3471621.875,3471155.9375,3470690.0,3470224.0625
36,Cayman Islands,CYM,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651,126.999998092651
37,Central African Republic,CAF,225600.0,225444.00390625,225288.0078125,225131.9921875,224975.99609375,224820.0,224664.00390625,224508.0078125,224351.9921875,224195.99609375,224040.0,223884.00390625,223728.0078125,223571.9921875,223415.99609375,223260.0,223104.00390625,222948.0078125,222791.9921875,222635.99609375,222480.0,222324.00390625,222168.0078125,222011.9921875,221855.99609375,221700.0,221544.00390625
38,Chad,TCD,67050.0,66671.0009765625,66292.001953125,65912.998046875,65533.9990234375,65155.0,64776.0009765625,64397.001953125,64017.998046875,63638.9990234375,63260.0,62890.0,62520.0,62150.0,61780.0,61410.0,60143.9990234375,58877.998046875,57612.001953125,56346.0009765625,55080.0,53813.9990234375,52547.998046875,51282.001953125,50016.0009765625,48750.0,47483.9990234375
39,Chile,CHL,152630.0,153200.99609375,153772.001953125,154342.998046875,154914.00390625,155485.0,156055.99609375,156627.001953125,157197.998046875,157769.00390625,158340.0,158755.99609375,159172.001953125,159587.998046875,160004.00390625,160420.0,160797.998046875,161175.99609375,161554.00390625,161932.001953125,162310.0,165318.0078125,168325.99609375,171334.00390625,174341.9921875,177350.0,180358.0078125
40,China,CHN,1571405.9375,1591265.9375,1611125.78125,1630985.625,1650845.625,1670705.46875,1690565.46875,1710425.3125,1730285.15625,1750145.15625,1770005.0,1802091.875,1834178.59375,1866265.46875,1898352.1875,1930439.0625,1945571.875,1960704.53125,1975837.34375,1990970.15625,2006102.96875,2021525.0,2036947.03125,2052369.0625,2067790.9375,2083212.96875,2098635.0
41,Colombia,COL,644170.0,641551.40625,638932.890625,636314.296875,633695.78125,631077.1875,628458.59375,625840.1171875,623221.484375,620603.0078125,617984.4140625,614790.1953125,611596.09375,608401.9140625,605207.8125,602013.59375,598881.484375,595749.4140625,592617.3828125,589485.3125,586353.203125,586086.015625,585818.90625,585551.71875,585284.609375,585017.3828125,584750.1953125
42,Comoros,COM,490.0,485.999984741211,482.000007629395,477.999992370605,474.000015258789,470.0,465.999984741211,462.000007629395,457.999992370605,454.000015258789,450.0,444.000015258789,437.999992370605,432.000007629395,425.999984741211,420.0,414.000015258789,407.999992370605,402.000007629395,395.999984741211,390.0,385.999984741211,382.000007629395,377.999992370605,374.000015258789,370.0,365.999984741211
43,"Congo, Dem. Rep.",COD,1603630.0,1600515.9375,1597402.03125,1594287.96875,1591174.0625,1588060.0,1584945.9375,1581832.03125,1578717.96875,1575604.0625,1572490.0,1569375.9375,1566262.03125,1563147.96875,1560034.0625,1556920.0,1553805.9375,1550692.03125,1547577.96875,1544464.0625,1541350.0,1538235.9375,1535122.03125,1532007.96875,1528894.0625,1525780.0,1522665.9375
44,"Congo, Rep.",COG,227260.0,227090.0,226920.0,226750.0,226580.0,226410.0,226240.0,226070.0,225900.0,225730.0,225560.0,225390.0,225220.0,225050.0,224880.0,224710.0,224590.0,224470.0,224350.0,224230.0,224110.0,223955.99609375,223801.9921875,223648.0078125,223494.00390625,223340.0,223185.99609375
45,Costa Rica,CRI,25640.0,25451.9995117188,25263.9990234375,25076.0009765625,24888.0004882813,24700.0,24511.9995117188,24323.9990234375,24136.0009765625,23948.0004882813,23760.0,23990.0,24220.0,24450.0,24680.0,24910.0,25138.0004882813,25366.0009765625,25593.9990234375,25821.9995117188,26050.0,26351.9995117188,26653.9990234375,26956.0009765625,27258.0004882813,27560.0,27861.9995117188
46,Cote d'Ivoire,CIV,102220.0,102325.99609375,102432.001953125,102537.998046875,102644.00390625,102750.0,102855.99609375,102962.001953125,103067.998046875,103174.00390625,103280.0,103434.00390625,103587.998046875,103742.001953125,103895.99609375,104050.0,104045.99609375,104042.001953125,104037.998046875,104034.00390625,104030.0,104025.99609375,104022.001953125,104017.998046875,104014.00390625,104010.0,104005.99609375
47,Croatia,HRV,18500.0,18500.0,18570.0,18605.0,18640.0,18675.0,18710.0,18745.0,18780.0,18815.0,18850.0,18885.9997558594,18921.9995117188,18958.0004882813,18994.0002441406,19030.0,19064.0002441406,19098.0004882813,19131.9995117188,19165.9997558594,19200.0,19204.0002441406,19208.0004882813,19211.9995117188,19215.9997558594,19220.0,19224.0002441406
48,Cuba,CUB,20580.0,20956.9995117188,21333.9990234375,21711.0009765625,22088.0004882813,22465.0,22841.9995117188,23218.9990234375,23596.0009765625,23973.0004882813,24350.0,24873.9990234375,25398.0004882813,25921.9995117188,26446.0009765625,26970.0,27440.0,27910.0,28380.0,28850.0,29320.0,29856.0009765625,30391.9995117188,30928.0004882813,31463.9990234375,32000.0,32536.0009765625
49,Cyprus,CYP,1611.10000610352,1621.60003662109,1632.10006713867,1642.59994506836,1653.09997558594,1663.60000610352,1674.10003662109,1684.60006713867,1695.09994506836,1705.59997558594,1716.10000610352,1718.60000610352,1721.10000610352,1723.50006103516,1726.00006103516,1728.50006103516,1728.50006103516,1728.50006103516,1728.50006103516,1728.39996337891,1728.39996337891,1728.09997558594,1727.79998779297,1727.59994506836,1727.29995727539,1726.99996948242,1726.69998168945
50,Czech Republic,CZE,26290.0,26290.0,26290.0,26313.9990234375,26321.9995117188,26330.0,26338.0004882813,26346.0009765625,26353.9990234375,26361.9995117188,26370.0,26390.0,26410.0,26430.0,26450.0,26470.0,26490.0,26510.0,26530.0,26550.0,26570.0,26590.0,26610.0,26630.0,26650.0,26670.0,26690.0
51,Denmark,DNK,5432.00012207031,5474.29992675781,5516.59973144531,5558.90014648438,5601.19995117188,5643.49975585938,5685.80017089844,5728.09997558594,5770.39978027344,5812.7001953125,5855.0,5799.40002441406,5743.80004882813,5688.20007324219,5632.60009765625,5577.00012207031,5635.80017089844,5694.60021972656,5753.40026855469,5812.19970703125,5870.99975585938,5921.19995117188,5971.40014648438,6021.59973144531,6071.79992675781,6122.00012207031,6172.19970703125
